no ,treatment,exposed,temperature,meantemp,realtemp,replicate,death,lastday,infect,no_spore,size,comment
29,FLU,U,10,13,12.39,5,14/04/2019,0,0,0,,spilled at 14.04.2019
89,FLU,U,13,16,15.95,5,15/04/2019,0,0,0,,
306,FLU,I,19,22,21.45,12,18/04/2019,0,1,,,error stabbed by pippette 18.04
391,FLU,I,22,25,24.13,1,18/04/2019,0,0,0,,
274,CS,I,19,19,19.18,10,19/04/2019,0,1,35,,
295,FLU,I,19,22,21.45,1,19/04/2019,0,1,3,,
495,CS,U,28,28,27.13,15,19/04/2019,0,0,0,,
400,FLU,I,22,25,24.13,10,19/04/2019,0,0,0,,error stabbed by pipette 19.04.2019
455,CS,U,25,25,24.49,11,19/04/2019,0,0,0,,
82,CS,I,13,13,13.54,10,20/04/2019,0,0,0,,
102,FLU,U,13,16,15.95,18,20/04/2019,0,0,0,,
499,CS,I,28,28,27.13,1,20/04/2019,0,0,0,,
508,CS,I,28,28,27.13,10,20/04/2019,0,1,4,,
489,CS,U,28,28,27.13,9,21/04/2019,0,0,0,,
104,FLU,I,13,16,15.95,2,22/04/2019,0,1,3,,
462,CS,U,25,25,24.49,18,22/04/2019,0,0,0,,
491,CS,U,28,28,27.13,11,22/04/2019,0,0,0,,
14,CS,I,10,10,10.71,2,23/04/2019,0,0,0,,
150,PULSE,I,13,13,13.91,12,23/04/2019,0,0,0,,
373,FLU,U,22,25,24.13,1,23/04/2019,0,0,0,,overgrown 
476,CS,I,25,25,24.49,14,23/04/2019,0,1,20,,
483,CS,U,28,28,27.13,3,23/04/2019,0,0,0,,
485,CS,U,28,28,27.13,5,23/04/2019,0,0,0,,
166,CS,U,16,16,16.08,10,23/04/2019,0,0,0,,23.04.2019 stabbed by pippete
399,FLU,I,22,25,24.13,9,24/04/2019,0,0,0,,
405,FLU,I,22,25,24.13,15,25/04/2019,0,0,0,,
416,PULSE,U,22,22,22.35,8,25/04/2019,0,0,0,,error stabbed by pipette NA
440,PULSE,I,22,22,22.35,14,25/04/2019,0,1,174,,
107,FLU,I,13,16,15.95,5,26/04/2019,0,0,0,,
507,CS,I,28,28,27.13,9,26/04/2019,0,1,2,,
442,PULSE,I,22,22,22.35,16,27/04/2019,0,1,146,,
458,CS,U,25,25,24.49,14,27/04/2019,0,0,0,,
437,PULSE,I,22,22,22.35,11,28/04/2019,0,0,0,,
510,CS,I,28,28,27.13,12,28/04/2019,0,0,0,,
156,PULSE,I,13,13,13.91,18,29/04/2019,0,1,3,,
322,PULSE,U,19,19,19.59,10,29/04/2019,0,0,0,,left at room temp for 24 hours
380,FLU,U,22,25,24.13,8,30/04/2019,0,0,0,,
389,FLU,U,22,25,24.13,17,30/04/2019,0,0,0,,
450,CS,U,25,25,24.49,6,30/04/2019,0,0,0,,
472,CS,I,25,25,24.49,10,30/04/2019,0,1,2,,
494,CS,U,28,28,27.13,14,30/04/2019,0,0,0,,
435,PULSE,I,22,22,22.35,9,01/05/2019,0,1,149,,
43,FLU,I,10,13,12.39,1,02/05/2019,0,0,0,,
305,FLU,I,19,22,21.45,11,02/05/2019,0,0,0,,
340,PULSE,I,19,19,19.59,10,02/05/2019,0,1,3,,
501,CS,I,28,28,27.13,3,02/05/2019,0,1,12,,
509,CS,I,28,28,27.13,11,02/05/2019,0,0,0,,
233,PULSE,U,16,16,16.48,17,03/05/2019,0,0,0,,
350,CS,U,22,22,21.65,2,03/05/2019,0,0,0,,lobes lost
417,PULSE,U,22,22,22.35,9,03/05/2019,0,0,0,,
445,CS,U,25,25,24.49,1,03/05/2019,0,0,0,,
439,PULSE,I,22,22,22.35,13,04/05/2019,0,0,0,,
212,FLU,I,16,19,18.65,14,05/05/2019,1,0,0,,
382,FLU,U,22,25,24.13,10,05/05/2019,1,0,0,,
157,CS,U,16,16,16.08,1,06/05/2019,1,0,0,40,
158,CS,U,16,16,16.08,2,06/05/2019,1,0,0,38,
159,CS,U,16,16,16.08,3,06/05/2019,1,0,0,40,
160,CS,U,16,16,16.08,4,06/05/2019,1,0,0,40,
161,CS,U,16,16,16.08,5,06/05/2019,1,0,0,35,
163,CS,U,16,16,16.08,7,06/05/2019,1,0,0,42,
164,CS,U,16,16,16.08,8,06/05/2019,1,0,0,35,
165,CS,U,16,16,16.08,9,06/05/2019,1,0,0,37,
169,CS,I,16,16,16.08,1,06/05/2019,1,1,171,40,
170,CS,I,16,16,16.08,2,06/05/2019,1,1,161,41,
171,CS,I,16,16,16.08,3,06/05/2019,1,1,114,39,
172,CS,I,16,16,16.08,4,06/05/2019,1,1,161,40,
173,CS,I,16,16,16.08,5,06/05/2019,1,1,139,39,
174,CS,I,16,16,16.08,6,06/05/2019,1,1,76,39,
175,CS,I,16,16,16.08,7,06/05/2019,1,1,219,38,
176,CS,I,16,16,16.08,8,06/05/2019,1,1,114,38,
177,CS,I,16,16,16.08,9,06/05/2019,1,1,160,39,
178,CS,I,16,16,16.08,10,06/05/2019,1,1,103,40,
179,CS,I,16,16,16.08,11,06/05/2019,1,1,14,38,
180,CS,I,16,16,16.08,12,06/05/2019,1,1,800,39,estimated spore load
253,CS,U,19,19,19.18,1,06/05/2019,1,0,0,42,
254,CS,U,19,19,19.18,2,06/05/2019,1,0,0,37,
255,CS,U,19,19,19.18,3,06/05/2019,1,0,0,42,
257,CS,U,19,19,19.18,5,06/05/2019,1,0,0,40,
258,CS,U,19,19,19.18,6,06/05/2019,1,0,0,41,
259,CS,U,19,19,19.18,7,06/05/2019,1,0,0,39,
260,CS,U,19,19,19.18,8,06/05/2019,1,0,0,43,
261,CS,U,19,19,19.18,9,06/05/2019,1,0,0,39,
262,CS,U,19,19,19.18,10,06/05/2019,1,0,0,41,
263,CS,U,19,19,19.18,11,06/05/2019,1,0,0,40,
264,CS,U,19,19,19.18,12,06/05/2019,1,0,0,40,
265,CS,I,19,19,19.18,1,06/05/2019,1,1,326,41,
267,CS,I,19,19,19.18,3,06/05/2019,1,1,538,40,
268,CS,I,19,19,19.18,4,06/05/2019,1,1,532,41,
269,CS,I,19,19,19.18,5,06/05/2019,1,1,6,41,
270,CS,I,19,19,19.18,6,06/05/2019,1,1,66,42,
271,CS,I,19,19,19.18,7,06/05/2019,1,1,335,40,
272,CS,I,19,19,19.18,8,06/05/2019,1,1,344,41,
273,CS,I,19,19,19.18,9,06/05/2019,1,1,549,40,
275,CS,I,19,19,19.18,11,06/05/2019,1,1,996,40,
276,CS,I,19,19,19.18,12,06/05/2019,1,1,807,41,
312,FLU,I,19,22,21.45,18,06/05/2019,1,1,3,35,
351,CS,U,22,22,21.65,3,06/05/2019,1,0,0,,
353,CS,U,22,22,21.65,5,06/05/2019,1,0,0,39,
354,CS,U,22,22,21.65,6,06/05/2019,1,0,0,40,
355,CS,U,22,22,21.65,7,06/05/2019,1,0,0,40,
357,CS,U,22,22,21.65,9,06/05/2019,1,0,0,37,
358,CS,U,22,22,21.65,10,06/05/2019,1,0,0,38,
359,CS,U,22,22,21.65,11,06/05/2019,1,0,0,41,
360,CS,U,22,22,21.65,12,06/05/2019,1,0,0,39,
361,CS,I,22,22,21.65,1,06/05/2019,1,0,0,41,
362,CS,I,22,22,21.65,2,06/05/2019,1,1,249,39,
363,CS,I,22,22,21.65,3,06/05/2019,1,1,929,40,
364,CS,I,22,22,21.65,4,06/05/2019,1,1,154,40,
365,CS,I,22,22,21.65,5,06/05/2019,1,1,536,38,
366,CS,I,22,22,21.65,6,06/05/2019,1,1,36,40,
367,CS,I,22,22,21.65,7,06/05/2019,1,1,121,41,
368,CS,I,22,22,21.65,8,06/05/2019,1,1,52,42,
369,CS,I,22,22,21.65,9,06/05/2019,1,1,354,39,
371,CS,I,22,22,21.65,11,06/05/2019,1,1,194,36,
372,CS,I,22,22,21.65,12,06/05/2019,1,1,820,37,
446,CS,U,25,25,24.49,2,06/05/2019,1,0,0,40,
447,CS,U,25,25,24.49,3,06/05/2019,1,0,0,39,
448,CS,U,25,25,24.49,4,06/05/2019,1,0,0,41,
449,CS,U,25,25,24.49,5,06/05/2019,1,0,0,39,
451,CS,U,25,25,24.49,7,06/05/2019,1,0,0,40,
452,CS,U,25,25,24.49,8,06/05/2019,1,0,0,39,
453,CS,U,25,25,24.49,9,06/05/2019,1,0,0,35,
454,CS,U,25,25,24.49,10,06/05/2019,1,0,0,41,
456,CS,U,25,25,24.49,12,06/05/2019,1,0,0,38,
457,CS,U,25,25,24.49,13,06/05/2019,1,0,0,40,
459,CS,U,25,25,24.49,15,06/05/2019,1,0,0,41,
460,CS,U,25,25,24.49,16,06/05/2019,1,0,0,42,
461,CS,U,25,25,24.49,17,06/05/2019,1,0,0,39,
463,CS,I,25,25,24.49,1,06/05/2019,1,0,0,37,
464,CS,I,25,25,24.49,2,06/05/2019,1,1,32,41,
465,CS,I,25,25,24.49,3,06/05/2019,1,1,192,40,
466,CS,I,25,25,24.49,4,06/05/2019,1,1,12,40,
467,CS,I,25,25,24.49,5,06/05/2019,1,1,13,39,
468,CS,I,25,25,24.49,6,06/05/2019,1,1,51,37,
470,CS,I,25,25,24.49,8,06/05/2019,1,1,17,39,
471,CS,I,25,25,24.49,9,06/05/2019,1,1,14,41,
473,CS,I,25,25,24.49,11,06/05/2019,1,1,57,38,
474,CS,I,25,25,24.49,12,06/05/2019,1,0,0,38,
475,CS,I,25,25,24.49,13,06/05/2019,1,1,26,39,
477,CS,I,25,25,24.49,15,06/05/2019,1,1,3,40,
478,CS,I,25,25,24.49,16,06/05/2019,1,1,3,39,
479,CS,I,25,25,24.49,17,06/05/2019,1,1,67,39,
480,CS,I,25,25,24.49,18,06/05/2019,1,1,47,42,natural death
481,CS,U,28,28,27.13,1,06/05/2019,1,0,0,37,
482,CS,U,28,28,27.13,2,06/05/2019,1,0,0,40,
484,CS,U,28,28,27.13,4,06/05/2019,1,0,0,40,
486,CS,U,28,28,27.13,6,06/05/2019,1,0,0,37,
487,CS,U,28,28,27.13,7,06/05/2019,1,0,0,35,
488,CS,U,28,28,27.13,8,06/05/2019,1,0,0,36,
490,CS,U,28,28,27.13,10,06/05/2019,1,0,0,37,
493,CS,U,28,28,27.13,13,06/05/2019,1,0,0,38,
496,CS,U,28,28,27.13,16,06/05/2019,1,0,0,38,
497,CS,U,28,28,27.13,17,06/05/2019,1,0,0,39,
498,CS,U,28,28,27.13,18,06/05/2019,1,0,0,40,
500,CS,I,28,28,27.13,2,06/05/2019,1,0,0,39,
502,CS,I,28,28,27.13,4,06/05/2019,1,0,0,38,
503,CS,I,28,28,27.13,5,06/05/2019,1,0,0,36,
506,CS,I,28,28,27.13,8,06/05/2019,1,0,0,35,
1,CS,U,10,10,10.71,1,07/05/2019,1,0,0,36,
2,CS,U,10,10,10.71,2,07/05/2019,1,0,0,25,
3,CS,U,10,10,10.71,3,07/05/2019,1,0,0,22,
4,CS,U,10,10,10.71,4,07/05/2019,1,0,0,24,
5,CS,U,10,10,10.71,5,07/05/2019,1,0,0,25,
6,CS,U,10,10,10.71,6,07/05/2019,1,0,0,27,
7,CS,U,10,10,10.71,7,07/05/2019,1,0,0,22,
8,CS,U,10,10,10.71,8,07/05/2019,1,0,0,24,
9,CS,U,10,10,10.71,9,07/05/2019,1,0,0,28,
10,CS,U,10,10,10.71,10,07/05/2019,1,0,0,28,
11,CS,U,10,10,10.71,11,07/05/2019,1,0,0,27,
12,CS,U,10,10,10.71,12,07/05/2019,1,0,0,25,
13,CS,I,10,10,10.71,1,07/05/2019,1,0,0,28,
15,CS,I,10,10,10.71,3,07/05/2019,1,0,0,29,
16,CS,I,10,10,10.71,4,07/05/2019,1,0,0,26,
17,CS,I,10,10,10.71,5,07/05/2019,1,0,0,25,
19,CS,I,10,10,10.71,7,07/05/2019,1,0,0,25,
20,CS,I,10,10,10.71,8,07/05/2019,1,0,0,26,
21,CS,I,10,10,10.71,9,07/05/2019,1,0,0,27,
22,CS,I,10,10,10.71,10,07/05/2019,1,0,0,29,
24,CS,I,10,10,10.71,12,07/05/2019,1,0,0,25,
44,FLU,I,10,13,12.39,2,07/05/2019,1,0,0,32,
45,FLU,I,10,13,12.39,3,07/05/2019,1,0,0,31,
46,FLU,I,10,13,12.39,4,07/05/2019,1,1,2,33,
47,FLU,I,10,13,12.39,5,07/05/2019,1,0,0,30,
48,FLU,I,10,13,12.39,6,07/05/2019,1,0,0,31,
49,FLU,I,10,13,12.39,7,07/05/2019,1,0,0,30,
50,FLU,I,10,13,12.39,8,07/05/2019,1,0,0,29,
51,FLU,I,10,13,12.39,9,07/05/2019,1,0,0,32,
52,FLU,I,10,13,12.39,10,07/05/2019,1,0,0,32,
53,FLU,I,10,13,12.39,11,07/05/2019,1,0,0,30,
55,FLU,I,10,13,12.39,13,07/05/2019,1,0,0,32,
56,FLU,I,10,13,12.39,14,07/05/2019,1,0,0,30,
57,FLU,I,10,13,12.39,15,07/05/2019,1,0,0,32,
59,FLU,I,10,13,12.39,17,07/05/2019,1,0,0,30,
60,FLU,I,10,13,12.39,18,07/05/2019,1,0,0,33,
61,CS,U,13,13,13.54,1,07/05/2019,1,0,0,31,
62,CS,U,13,13,13.54,2,07/05/2019,1,0,0,32,
63,CS,U,13,13,13.54,3,07/05/2019,1,0,0,32,
64,CS,U,13,13,13.54,4,07/05/2019,1,0,0,34,
66,CS,U,13,13,13.54,6,07/05/2019,1,0,0,33,
67,CS,U,13,13,13.54,7,07/05/2019,1,0,0,32,
68,CS,U,13,13,13.54,8,07/05/2019,1,0,0,30,
69,CS,U,13,13,13.54,9,07/05/2019,1,0,0,29,
70,CS,U,13,13,13.54,10,07/05/2019,1,0,0,33,
72,CS,U,13,13,13.54,12,07/05/2019,1,0,0,33,
73,CS,I,13,13,13.54,1,07/05/2019,1,0,0,30,
74,CS,I,13,13,13.54,2,07/05/2019,1,1,2,33,
75,CS,I,13,13,13.54,3,07/05/2019,1,0,0,31,
76,CS,I,13,13,13.54,4,07/05/2019,1,1,11,34,
77,CS,I,13,13,13.54,5,07/05/2019,1,1,4,33,
78,CS,I,13,13,13.54,6,07/05/2019,1,1,21,32,
80,CS,I,13,13,13.54,8,07/05/2019,1,0,0,33,
81,CS,I,13,13,13.54,9,07/05/2019,1,0,0,32,
83,CS,I,13,13,13.54,11,07/05/2019,1,1,10,34,
84,CS,I,13,13,13.54,12,07/05/2019,1,1,14,31,
103,FLU,I,13,16,15.95,1,07/05/2019,1,1,59,40,
105,FLU,I,13,16,15.95,3,07/05/2019,1,1,29,35,
106,FLU,I,13,16,15.95,4,07/05/2019,1,1,92,36,
108,FLU,I,13,16,15.95,6,07/05/2019,1,1,356,38,
109,FLU,I,13,16,15.95,7,07/05/2019,1,1,8,35,
110,FLU,I,13,16,15.95,8,07/05/2019,1,1,139,35,
111,FLU,I,13,16,15.95,9,07/05/2019,1,1,12,33,
112,FLU,I,13,16,15.95,10,07/05/2019,1,0,0,30,
113,FLU,I,13,16,15.95,11,07/05/2019,1,1,33,33,
114,FLU,I,13,16,15.95,12,07/05/2019,1,0,0,33,
115,FLU,I,13,16,15.95,13,07/05/2019,1,1,36,34,
116,FLU,I,13,16,15.95,14,07/05/2019,1,1,177,34,
117,FLU,I,13,16,15.95,15,07/05/2019,1,1,22,35,
118,FLU,I,13,16,15.95,16,07/05/2019,1,1,82,37,
119,FLU,I,13,16,15.95,17,07/05/2019,1,1,148,34,
120,FLU,I,13,16,15.95,18,07/05/2019,1,1,5,32,
199,FLU,I,16,19,18.65,1,07/05/2019,1,1,154,34,
200,FLU,I,16,19,18.65,2,07/05/2019,1,1,544,37,
