tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,length,spore_exposure
1,2V,1,D,1,NA,NA,NA,NA,4/19/22,NA,85,NA,NA,1,159,0,1.5181,200
2,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,92,NA,NA,1,281,0,1.64312,200
3,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,99,1,1.46452,200
4,2V,1,D,1,NA,1,NA,NA,NA,5/18/22,81,1,-2,0,NA,NA,2.025,200
5,2V,1,D,1,NA,NA,NA,NA,4/26/22,NA,83,NA,NA,1,80,1,1.48238,200
6,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,90,NA,NA,1,165,1,1.6074,200
7,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,87,NA,NA,1,218,0,1.55382,200
8,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,80,NA,NA,1,192,0,1.4288,200
9,2V,1,D,1,NA,NA,NA,1,NA,4/11/22,NA,NA,NA,NA,NA,NA,NA,200
10,2V,1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,0,0,NA,NA,200
11,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,112,1,1.46452,200
12,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,87,1,1.46452,200
13,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,NA,NA,NA,1,81,0,NA,200
14,2V,1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,1,97,1,NA,200
15,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,79,NA,NA,1,104,1,1.41094,200
16,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,69,NA,NA,1,211,0,1.23234,200
17,2V,1,D,1,NA,1,NA,NA,NA,5/18/22,82,1,-2,0,NA,NA,2.05,200
18,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,84,NA,NA,1,88,1,1.50024,200
19,2V,1,D,1,NA,NA,NA,NA,4/10/22,NA,52,NA,NA,NA,NA,NA,0.92872,200
20,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,97,NA,NA,1,152,1,1.73242,200
21,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,170,1,1.46452,200
22,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,88,1,1.46452,200
23,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,76,NA,NA,1,109,1,1.35736,200
24,2V,1,D,1,NA,NA,NA,NA,5/3/22,NA,100,NA,NA,0,0,1,1.786,200
25,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,89,NA,NA,1,112,1,1.58954,200
26,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,87,NA,NA,0,0,1,1.55382,200
27,2V,1,D,1,NA,1,NA,NA,NA,5/18/22,81,1,-2,0,NA,NA,2.025,200
28,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,83,NA,NA,1,218,0,1.48238,200
29,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,83,NA,NA,1,140,1,1.48238,200
30,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,86,NA,NA,1,322,0,1.53596,200
31,2V,1,D,1,NA,NA,NA,NA,4/11/22,NA,NA,NA,NA,0,NA,NA,NA,200
32,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,NA,NA,NA,1,88,1,NA,200
33,2V,1,D,1,NA,NA,NA,NA,4/24/22,NA,93,NA,NA,1,117,1,1.66098,200
34,2V,1,D,1,NA,NA,NA,1,NA,4/12/22,NA,NA,NA,NA,NA,NA,NA,200
35,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,92,NA,NA,1,101,1,1.64312,200
36,2V,1,D,0,NA,NA,NA,NA,5/23/22,NA,94,1,-1,0,NA,NA,1.88,200
37,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,84,1,-2,0,NA,NA,2.1,200
38,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,85,1,-2,0,NA,NA,2.125,200
39,2V,1,D,0,1,NA,NA,NA,4/30/22,NA,61,NA,NA,0,NA,NA,1.08946,200
40,2V,1,D,0,NA,NA,NA,NA,5/21/22,NA,96,1,-1,0,NA,NA,1.92,200
41,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,84,1,-2,0,NA,NA,2.1,200
42,2V,1,D,0,NA,NA,NA,NA,5/22/22,NA,79,1,-2,0,NA,NA,1.975,200
43,2V,1,D,0,NA,NA,NA,NA,5/21/22,NA,83,1,-2,0,NA,NA,2.075,200
44,2V,1,D,0,NA,NA,NA,NA,5/8/22,NA,95,1,-1,0,NA,NA,1.9,200
45,2V,1,D,0,NA,NA,NA,NA,5/20/22,NA,NA,NA,NA,0,NA,NA,NA,200
46,2V,1,D,0,NA,NA,NA,NA,5/21/22,NA,84,1,-2,0,NA,NA,2.1,200
47,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,83,1,-2,0,NA,NA,2.075,200
48,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,98,1,-1,0,NA,NA,1.96,200
49,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,86,1,-2,0,NA,NA,2.15,200
50,2V,1,D,0,1,NA,NA,NA,NA,5/1/22,66,NA,NA,0,NA,NA,1.17876,200
51,6V,1,D,1,NA,NA,NA,NA,4/22/22,NA,85,NA,NA,1,108,1,1.5181,200
52,6V,1,D,1,NA,NA,NA,NA,5/13/22,NA,95,NA,NA,0,NA,NA,1.6967,200
53,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,88,NA,NA,1,243,1,1.57168,200
54,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,84,1,-2,0,NA,NA,2.1,200
55,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,89,NA,NA,1,131,1,1.58954,200
56,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,90,NA,NA,1,152,1,1.6074,200
57,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,90,NA,NA,1,170,1,1.6074,200
58,6V,1,D,1,NA,NA,NA,NA,4/26/22,NA,90,NA,NA,1,102,1,1.6074,200
59,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,93,NA,NA,1,167,1,1.66098,200
60,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,89,NA,NA,1,197,1,1.58954,200
61,6V,1,D,1,NA,NA,NA,NA,4/22/22,NA,83,NA,NA,1,122,1,1.48238,200
62,6V,1,D,1,NA,NA,NA,NA,5/3/22,NA,89,NA,NA,1,203,1,1.58954,200
63,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,85,NA,NA,1,115,1,1.5181,200
64,6V,1,D,1,NA,NA,NA,NA,4/27/22,NA,96,NA,NA,1,113,1,1.71456,200
65,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,90,NA,NA,1,146,1,1.6074,200
66,6V,1,D,1,NA,NA,NA,1,NA,4/12/22,NA,NA,NA,NA,NA,NA,NA,200
67,6V,1,D,1,NA,NA,NA,NA,4/26/22,NA,87,NA,NA,1,126,1,1.55382,200
68,6V,1,D,1,NA,NA,NA,NA,4/24/22,NA,88,NA,NA,1,71,1,1.57168,200
69,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,93,NA,NA,1,204,1,1.66098,200
70,6V,1,D,1,NA,NA,NA,NA,5/10/22,NA,95,1,-1,0,0,1,1.9,200
71,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,93,NA,NA,1,139,1,1.66098,200
72,6V,1,D,1,NA,NA,NA,NA,4/28/22,NA,NA,NA,NA,1,54,1,NA,200
73,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,83,NA,NA,1,102,1,1.48238,200
74,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,94,1,-1,0,NA,NA,1.88,200
75,6V,1,D,1,NA,NA,NA,NA,5/1/22,NA,92,NA,NA,1,188,1,1.64312,200
76,6V,1,D,1,NA,NA,NA,NA,4/28/22,NA,94,NA,NA,1,194,1,1.67884,200
77,6V,1,D,1,NA,NA,NA,1,NA,4/25/22,NA,NA,NA,NA,NA,NA,NA,200
78,6V,1,D,1,NA,NA,NA,NA,5/4/22,NA,90,NA,NA,1,182,1,1.6074,200
79,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,89,1,-1,0,NA,NA,1.78,200
80,6V,1,D,1,1,NA,NA,NA,NA,4/30/22,60,NA,NA,0,NA,NA,1.0716,200
81,6V,1,D,1,NA,NA,NA,NA,4/21/22,NA,87,NA,NA,1,197,0,1.55382,200
82,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,82,1,-1,0,NA,NA,1.64,200
83,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,89,NA,NA,1,92,1,1.58954,200
84,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,87,NA,NA,1,79,1,1.55382,200
85,6V,1,D,1,NA,NA,NA,NA,4/28/22,NA,88,NA,NA,1,142,1,1.57168,200
86,6V,1,D,0,NA,1,NA,NA,NA,5/18/22,87,1,-2,0,NA,NA,2.175,200
87,6V,1,D,0,NA,NA,NA,NA,5/23/22,NA,84,1,-2,0,NA,NA,2.1,200
88,6V,1,D,0,NA,NA,NA,NA,5/23/22,NA,84,1,-2,0,NA,NA,2.1,200
89,6V,1,D,0,NA,1,NA,NA,NA,5/23/22,100,1,-1,0,NA,NA,2,200
90,6V,1,D,0,NA,NA,NA,NA,5/22/22,NA,95,1,-1,0,NA,NA,1.9,200
91,6V,1,D,0,NA,1,NA,NA,NA,5/23/22,86,1,-2,0,NA,NA,2.15,200
92,6V,1,D,0,NA,1,NA,NA,NA,5/23/22,100,1,-1,0,NA,NA,2,200
93,6V,1,D,0,NA,NA,NA,NA,5/23/22,NA,84,1,-2,0,NA,NA,2.1,200
94,6V,1,D,0,NA,NA,NA,NA,5/20/22,NA,83,1,-2,0,NA,NA,2.075,200
95,6V,1,D,0,NA,1,NA,NA,NA,5/23/22,79,1,-2,0,NA,NA,1.975,200
96,6V,1,D,0,1,1,NA,NA,NA,4/30/22,64,NA,NA,0,NA,NA,1.14304,200
97,6V,1,D,0,NA,1,NA,NA,NA,5/23/22,88,1,-2,0,NA,NA,2.2,200
98,6V,1,D,0,NA,NA,NA,NA,5/22/22,NA,80,1,-2,0,NA,NA,2,200
99,6V,1,D,0,NA,NA,NA,NA,5/22/22,NA,86,1,-2,0,NA,NA,2.15,200
100,6V,1,D,0,NA,1,NA,NA,NA,5/23/22,81,1,-2,0,NA,NA,2.025,200
101,14V,1,D,1,NA,NA,NA,NA,5/1/22,NA,85,NA,NA,1,190,1,1.5181,200
102,14V,1,D,1,NA,NA,NA,NA,4/30/22,NA,92,NA,NA,1,175,1,1.64312,200
103,14V,1,D,1,NA,NA,NA,NA,4/27/22,NA,NA,NA,NA,1,55,1,NA,200
104,14V,1,D,1,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA,NA,NA,NA,200
105,14V,1,D,1,NA,1,NA,NA,NA,5/18/22,99,1,-1,0,NA,NA,1.98,200
106,14V,1,D,1,NA,NA,NA,NA,4/22/22,NA,89,NA,NA,1,134,1,1.58954,200
107,14V,1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,1,142,1,NA,200
108,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,85,NA,NA,1,49,1,1.5181,200
109,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,92,NA,NA,1,68,1,1.64312,200
110,14V,1,D,1,1,NA,NA,NA,4/24/22,NA,NA,NA,NA,1,NA,NA,NA,200
111,14V,1,D,1,NA,1,NA,NA,NA,5/18/22,83,1,-2,0,NA,NA,2.075,200
112,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,NA,NA,NA,1,NA,NA,NA,200
113,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,92,NA,NA,1,NA,NA,1.64312,200
114,14V,1,D,1,NA,NA,NA,NA,4/19/22,NA,87,NA,NA,1,213,1,1.55382,200
115,14V,1,D,1,NA,1,NA,NA,NA,5/18/22,84,1,-2,0,NA,NA,2.1,200
116,14V,1,D,1,NA,NA,NA,NA,4/27/22,NA,90,NA,NA,1,131,1,1.6074,200
117,14V,1,D,1,NA,NA,NA,NA,4/26/22,NA,83,NA,NA,1,67,1,1.48238,200
118,14V,1,D,1,NA,NA,NA,NA,4/27/22,NA,86,NA,NA,1,110,1,1.53596,200
119,14V,1,D,1,NA,NA,NA,NA,4/26/22,NA,86,NA,NA,1,98,1,1.53596,200
120,14V,1,D,1,NA,NA,NA,NA,4/30/22,NA,88,NA,NA,1,139,1,1.57168,200
121,14V,1,D,1,NA,NA,NA,NA,4/23/22,NA,75,NA,NA,1,69,1,1.3395,200
122,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,80,NA,NA,1,77,1,1.4288,200
123,14V,1,D,1,1,NA,NA,NA,4/25/22,NA,61,NA,NA,1,27,1,1.08946,200
124,14V,1,D,1,NA,NA,NA,NA,4/29/22,NA,96,NA,NA,1,188,1,1.71456,200
125,14V,1,D,1,NA,NA,NA,NA,4/26/22,NA,87,NA,NA,1,115,1,1.55382,200
126,14V,1,D,1,NA,NA,NA,NA,4/22/22,NA,70,NA,NA,1,87,1,1.2502,200
127,14V,1,D,1,NA,NA,NA,NA,4/30/22,NA,91,NA,NA,1,202,1,1.62526,200
128,14V,1,D,1,1,NA,NA,NA,4/21/22,NA,60,NA,NA,1,39,1,1.0716,200
129,14V,1,D,1,NA,NA,NA,NA,5/3/22,NA,90,NA,NA,1,200,1,1.6074,200
130,14V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,86,1,1.46452,200
131,14V,1,D,1,NA,NA,NA,NA,4/25/22,NA,79,NA,NA,1,80,1,1.41094,200
132,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,86,NA,NA,1,111,1,1.53596,200
133,14V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,79,1,1.46452,200
134,14V,1,D,1,NA,NA,NA,NA,4/24/22,NA,87,NA,NA,1,23,1,1.55382,200
135,14V,1,D,1,NA,NA,NA,NA,5/15/22,NA,81,1,-2,0,NA,NA,2.025,200
136,14V,1,D,0,NA,NA,1,NA,NA,5/7/22,100,1,1,0,NA,NA,0,200
137,14V,1,D,0,NA,NA,NA,NA,5/23/22,NA,79,1,-2,0,NA,NA,1.975,200
138,14V,1,D,0,NA,NA,NA,NA,5/23/22,NA,87,1,-2,0,NA,NA,2.175,200
139,14V,1,D,0,NA,1,NA,NA,NA,5/23/22,83,1,-2,0,NA,NA,2.075,200
140,14V,1,D,0,NA,1,NA,NA,NA,5/23/22,81,NA,NA,0,NA,NA,1.44666,200
141,14V,1,D,0,NA,NA,NA,NA,5/17/22,NA,NA,NA,NA,0,NA,NA,NA,200
142,14V,1,D,0,1,1,NA,NA,NA,4/30/22,58,NA,NA,0,NA,NA,1.03588,200
143,14V,1,D,0,NA,NA,NA,1,NA,5/2/22,NA,NA,NA,NA,NA,NA,NA,200
144,14V,1,D,0,NA,1,NA,NA,NA,5/23/22,88,1,-2,0,NA,NA,2.2,200
145,14V,1,D,0,1,1,NA,NA,NA,5/1/22,62,NA,NA,0,NA,NA,1.10732,200
146,14V,1,D,0,NA,NA,NA,NA,5/20/22,NA,98,1,-1,0,NA,NA,1.96,200
147,14V,1,D,0,1,1,NA,NA,NA,4/30/22,62,NA,NA,0,NA,NA,1.10732,200
148,14V,1,D,0,NA,1,NA,NA,NA,5/23/22,81,1,-2,0,NA,NA,2.025,200
149,14V,1,D,0,NA,NA,NA,NA,4/27/22,NA,100,NA,NA,0,NA,NA,1.786,200
150,14V,1,D,0,NA,NA,NA,NA,5/22/22,NA,88,1,-2,0,NA,NA,2.2,200
151,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,82,NA,NA,0,NA,NA,1.46452,200
152,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0,NA,NA,1.50024,200
153,15,0.1,D,0,NA,NA,NA,NA,5/21/22,NA,91,NA,NA,0,NA,NA,1.62526,200
154,15,0.1,D,0,NA,NA,NA,1,NA,5/13/22,NA,NA,NA,NA,NA,NA,NA,200
155,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,91,NA,NA,0,NA,NA,1.62526,200
156,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0,NA,NA,1.50024,200
157,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,90,NA,NA,0,NA,NA,1.6074,200
158,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0,NA,NA,NA,200
159,15,0.1,D,0,NA,NA,NA,NA,4/15/22,NA,35,NA,NA,NA,NA,NA,0.6251,200
160,15,0.1,D,0,NA,NA,NA,1,NA,4/14/22,NA,NA,NA,NA,NA,NA,NA,200
161,15,0.1,D,0,NA,1,NA,NA,NA,5/23/22,84,NA,NA,0,NA,NA,1.50024,200
162,15,0.1,D,0,NA,NA,NA,NA,4/16/22,NA,46,NA,NA,NA,NA,NA,0.82156,200
163,15,0.1,D,0,NA,NA,NA,NA,4/12/22,NA,40,NA,NA,NA,NA,NA,0.7144,200
164,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,81,NA,NA,0,NA,NA,1.44666,200
165,15,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,78,NA,NA,0,NA,NA,1.39308,200
166,15,0.1,D,1,NA,NA,NA,NA,5/21/22,NA,79,NA,NA,1,104,1,1.41094,200
167,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,44,NA,NA,NA,NA,NA,0.78584,200
168,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,42,NA,NA,NA,NA,NA,0.75012,200
169,15,0.1,D,1,NA,NA,1,NA,NA,4/11/22,NA,NA,NA,NA,NA,NA,NA,200
170,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0,NA,NA,1.6074,200
171,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,86,NA,NA,0,NA,NA,1.53596,200
172,15,0.1,D,1,NA,NA,NA,NA,4/12/22,NA,33,NA,NA,NA,NA,NA,0.58938,200
173,15,0.1,D,1,NA,NA,NA,NA,4/15/22,NA,48,NA,NA,NA,NA,NA,0.85728,200
174,15,0.1,D,1,1,1,NA,NA,NA,5/5/22,57,NA,NA,0,NA,NA,1.01802,200
175,15,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,46,NA,NA,NA,NA,NA,0.82156,200
176,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,84,NA,NA,0,NA,NA,1.50024,200
177,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,85,NA,NA,0,NA,NA,1.5181,200
178,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,90,NA,NA,0,NA,NA,1.6074,200
179,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,83,NA,NA,0,NA,NA,1.48238,200
180,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,82,NA,NA,0,NA,NA,1.46452,200
181,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,50,NA,NA,NA,NA,NA,0.893,200
182,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,51,NA,NA,NA,NA,NA,0.91086,200
183,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,91,NA,NA,0,NA,NA,1.62526,200
184,15,0.1,D,1,NA,1,NA,NA,NA,5/18/22,81,NA,NA,0,NA,NA,1.44666,200
185,15,0.1,D,1,NA,NA,NA,NA,4/13/22,NA,40,NA,NA,NA,NA,NA,0.7144,200
