tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,length,spore_exposure
369,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,77,NA,NA,1,134,1,1.37522,200
370,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,NA,NA,NA,NA,200
371,20,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,76,NA,NA,1,29,1,1.35736,200
372,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,1,40,1,NA,200
373,20,0.1,D,1,NA,NA,NA,NA,4/22/22,NA,NA,NA,NA,1,25,1,NA,200
374,20,0.1,D,1,NA,NA,NA,NA,4/22/22,NA,57,NA,NA,1,31,1,1.01802,200
375,20,0.1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,NA,NA,NA,NA,200
376,20,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,94,1,-1,0,NA,NA,1.88,200
377,20,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,97,1,-1,0,NA,NA,1.94,200
378,20,0.5,D,0,NA,NA,1,NA,NA,4/15/22,71,NA,NA,NA,NA,NA,1.26806,200
379,20,0.5,D,0,NA,NA,NA,NA,5/23/22,NA,96,1,-1,0,NA,NA,1.92,200
380,20,0.5,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0,NA,NA,NA,200
381,20,0.5,D,0,1,1,NA,NA,NA,5/1/22,59,NA,NA,0,NA,NA,1.05374,200
382,20,0.5,D,0,NA,1,NA,NA,NA,5/23/22,98,NA,NA,0,NA,NA,1.75028,200
383,20,0.5,D,0,NA,NA,NA,NA,4/23/22,NA,88,NA,NA,0,NA,NA,1.57168,200
384,20,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,93,1,-1,0,NA,NA,1.86,200
385,20,0.5,D,0,NA,NA,NA,NA,4/24/22,NA,84,NA,NA,0,NA,NA,1.50024,200
386,20,0.5,D,0,NA,NA,NA,NA,4/24/22,NA,88,NA,NA,0,NA,NA,1.57168,200
387,20,0.5,D,0,NA,1,NA,NA,NA,5/23/22,96,1,-1,0,NA,NA,1.92,200
388,20,0.5,D,0,NA,NA,NA,1,4/12/22,NA,NA,NA,NA,NA,NA,NA,NA,200
389,20,0.5,D,0,1,1,NA,NA,NA,5/1/22,59,NA,NA,0,NA,NA,1.05374,200
390,20,0.5,D,0,NA,1,NA,NA,NA,5/23/22,83,1,-2,0,NA,NA,2.075,200
391,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,100,1,-1,0,NA,NA,2,200
392,20,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,59,NA,NA,1,34,1,1.05374,200
393,20,0.5,D,1,NA,NA,NA,NA,4/15/22,NA,NA,NA,NA,1,51,1,NA,200
394,20,0.5,D,1,NA,NA,NA,NA,4/30/22,NA,84,NA,NA,0,0,1,1.50024,200
395,20,0.5,D,1,NA,NA,NA,NA,5/1/22,NA,88,NA,NA,1,162,1,1.57168,200
396,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,NA,NA,NA,1,35,1,NA,200
397,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,93,1,-1,0,NA,NA,1.86,200
398,20,0.5,D,1,NA,NA,NA,NA,NA,5/5/22,NA,NA,NA,NA,NA,NA,NA,200
399,20,0.5,D,1,1,NA,NA,NA,4/24/22,NA,62,NA,NA,1,27,1,1.10732,200
400,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0,NA,NA,1.9,200
401,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,91,1,-1,0,NA,NA,1.82,200
402,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0,NA,NA,1.9,200
403,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,62,NA,NA,0,NA,NA,1.10732,200
404,20,0.5,D,1,NA,NA,NA,NA,4/23/22,NA,74,NA,NA,1,57,1,1.32164,200
405,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,77,NA,NA,1,106,1,1.37522,200
406,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,61,NA,NA,0,NA,NA,1.08946,200
407,20,0.5,D,1,NA,NA,NA,NA,4/21/22,NA,77,NA,NA,0,0,1,1.37522,200
408,20,0.5,D,1,NA,NA,NA,NA,4/23/22,NA,85,NA,NA,1,45,1,1.5181,200
409,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,96,1,-1,0,NA,NA,1.92,200
410,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,92,1,-1,0,NA,NA,1.84,200
411,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,72,NA,NA,1,132,1,1.28592,200
412,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,94,1,-1,0,NA,NA,1.88,200
413,20,0.5,D,1,NA,NA,NA,NA,5/1/22,NA,85,NA,NA,1,183,1,1.5181,200
414,20,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,77,NA,NA,1,88,1,1.37522,200
415,20,0.5,D,1,1,1,NA,NA,NA,5/1/22,61,NA,NA,0,NA,NA,1.08946,200
416,20,0.5,D,1,NA,NA,NA,NA,4/25/22,NA,79,NA,NA,1,90,1,1.41094,200
417,20,0.5,D,1,1,NA,NA,NA,4/22/22,NA,52,NA,NA,0,0,1,0.92872,200
418,20,0.5,D,1,NA,NA,NA,NA,4/29/22,NA,81,NA,NA,1,101,1,1.44666,200
419,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,91,1,-1,0,NA,NA,1.82,200
420,20,0.5,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0,NA,NA,1.9,200
421,20,1,D,0,1,1,NA,NA,NA,5/1/22,63,NA,NA,0,NA,NA,1.12518,200
422,20,1,D,0,NA,1,NA,NA,NA,5/23/22,82,1,-2,0,NA,NA,2.05,200
423,20,1,D,0,NA,NA,NA,NA,5/20/22,NA,94,1,-1,0,NA,NA,1.88,200
424,20,1,D,0,NA,NA,NA,NA,5/22/22,NA,94,1,-1,0,NA,NA,1.88,200
425,20,1,D,0,NA,1,NA,NA,NA,5/23/22,80,1,-2,0,NA,NA,2,200
426,20,1,D,0,NA,1,NA,NA,NA,5/23/22,99,1,-1,0,NA,NA,1.98,200
427,20,1,D,0,NA,NA,NA,NA,5/20/22,NA,80,1,-2,0,NA,NA,2,200
428,20,1,D,0,NA,NA,NA,NA,5/22/22,NA,97,1,-1,0,NA,NA,1.94,200
429,20,1,D,0,NA,NA,NA,NA,5/22/22,NA,99,1,-1,0,NA,NA,1.98,200
430,20,1,D,0,NA,1,NA,NA,NA,5/23/22,82,1,-2,0,NA,NA,2.05,200
431,20,1,D,0,NA,1,NA,NA,NA,5/23/22,98,1,-1,0,NA,NA,1.96,200
432,20,1,D,0,1,NA,1,NA,NA,4/23/22,57,NA,NA,0,1,1,1.01802,200
433,20,1,D,0,NA,NA,NA,NA,5/14/22,NA,91,1,-1,0,NA,NA,1.82,200
434,20,1,D,0,NA,1,NA,NA,NA,5/23/22,82,1,-2,0,NA,NA,2.05,200
435,20,1,D,0,1,1,NA,NA,NA,5/1/22,61,NA,NA,0,NA,NA,1.08946,200
436,20,1,D,1,NA,1,NA,NA,NA,5/18/22,80,1,-2,0,NA,NA,2,200
437,20,1,D,1,NA,1,NA,NA,NA,5/18/22,98,1,-1,0,NA,NA,1.96,200
438,20,1,D,1,NA,1,NA,NA,NA,5/18/22,96,1,-1,0,NA,NA,1.92,200
439,20,1,D,1,NA,NA,NA,NA,4/26/22,NA,75,NA,NA,1,98,1,1.3395,200
440,20,1,D,1,NA,NA,NA,NA,4/20/22,NA,85,NA,NA,1,187,0,1.5181,200
441,20,1,D,1,NA,1,NA,NA,NA,5/18/22,92,1,-1,0,NA,NA,1.84,200
442,20,1,D,1,NA,NA,NA,NA,4/22/22,NA,78,NA,NA,1,97,1,1.39308,200
443,20,1,D,1,NA,NA,NA,NA,4/25/22,NA,82,NA,NA,1,100,1,1.46452,200
444,20,1,D,1,NA,1,NA,NA,NA,5/18/22,97,1,-1,0,NA,NA,1.94,200
445,20,1,D,1,NA,1,NA,NA,NA,5/18/22,95,1,-1,0,NA,NA,1.9,200
446,20,1,D,1,NA,1,NA,NA,NA,5/18/22,79,1,-2,0,NA,NA,1.975,200
447,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,83,NA,NA,1,80,1,1.48238,200
448,20,1,D,1,NA,1,NA,NA,NA,5/18/22,98,1,-1,0,NA,NA,1.96,200
449,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,78,NA,NA,1,68,1,1.39308,200
450,20,1,D,1,NA,NA,NA,1,NA,4/23/22,NA,NA,NA,NA,NA,NA,NA,200
451,20,1,D,1,NA,NA,NA,NA,4/5/22,NA,82,NA,NA,1,92,1,1.46452,200
452,20,1,D,1,NA,NA,NA,NA,4/29/22,NA,78,NA,NA,1,156,1,1.39308,200
453,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,NA,NA,NA,1,17,1,NA,200
454,20,1,D,1,NA,1,NA,NA,NA,5/18/22,81,1,-2,0,NA,NA,2.025,200
455,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,84,NA,NA,1,86,1,1.50024,200
456,20,1,D,1,NA,NA,NA,NA,4/29/22,NA,80,NA,NA,1,139,1,1.4288,200
457,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,83,NA,NA,1,75,1,1.48238,200
458,20,1,D,1,NA,1,NA,NA,NA,5/18/22,82,1,-2,0,NA,NA,2.05,200
459,20,1,D,1,NA,NA,NA,NA,4/30/22,NA,80,NA,NA,1,205,1,1.4288,200
460,20,1,D,1,NA,1,NA,NA,NA,5/18/22,80,1,-2,0,NA,NA,2,200
461,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,76,NA,NA,1,84,1,1.35736,200
462,20,1,D,1,NA,NA,NA,NA,4/24/22,NA,85,NA,NA,1,72,1,1.5181,200
463,20,1,D,1,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA,NA,NA,NA,200
464,20,1,D,1,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA,NA,NA,NA,200
465,20,1,D,1,NA,1,NA,NA,NA,5/18/22,100,1,-1,0,NA,NA,2,200
466,25,0.1,D,0,NA,NA,NA,NA,4/13/22,NA,65,NA,NA,0,NA,NA,1.1609,200
467,25,0.1,D,0,NA,NA,NA,NA,5/9/22,NA,92,NA,NA,1,157,1,1.64312,200
468,25,0.1,D,0,NA,NA,NA,NA,5/13/22,NA,95,NA,NA,0,NA,NA,1.6967,200
469,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,NA,NA,NA,0,NA,NA,NA,200
470,25,0.1,D,0,NA,NA,NA,NA,5/17/22,NA,94,NA,NA,0,NA,NA,1.67884,200
471,25,0.1,D,0,NA,NA,NA,NA,4/14/22,NA,74,NA,NA,NA,NA,NA,1.32164,200
472,25,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0,NA,NA,NA,200
473,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,97,NA,NA,0,NA,NA,1.73242,200
474,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,90,1,-1,0,NA,NA,1.8,200
475,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,97,NA,NA,0,NA,NA,1.73242,200
476,25,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0,NA,NA,NA,200
477,25,0.1,D,0,NA,NA,NA,1,NA,4/22/22,NA,NA,NA,NA,NA,NA,NA,200
478,25,0.1,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0,NA,NA,NA,200
479,25,0.1,D,0,NA,NA,NA,NA,5/22/22,NA,91,1,-1,0,NA,NA,1.82,200
480,25,0.1,D,0,NA,NA,NA,NA,5/17/22,NA,96,NA,NA,0,NA,NA,1.71456,200
481,25,0.1,D,1,NA,NA,NA,NA,4/11/22,NA,NA,NA,NA,NA,NA,NA,NA,200
482,25,0.1,D,1,NA,NA,NA,NA,4/14/22,NA,74,NA,NA,NA,NA,NA,1.32164,200
483,25,0.1,D,1,NA,NA,1,NA,NA,4/26/22,NA,NA,NA,NA,NA,NA,NA,200
484,25,0.1,D,1,NA,NA,NA,1,NA,4/25/22,NA,NA,NA,NA,NA,NA,NA,200
485,25,0.1,D,1,NA,NA,NA,1,NA,4/25/22,NA,NA,NA,NA,NA,NA,NA,200
486,25,0.1,D,1,NA,NA,NA,NA,4/18/22,NA,78,NA,NA,1,111,0,1.39308,200
487,25,0.1,D,1,NA,NA,1,NA,NA,4/26/22,NA,NA,NA,NA,NA,NA,NA,200
488,25,0.1,D,1,NA,NA,NA,1,NA,4/25/22,NA,NA,NA,NA,NA,NA,NA,200
489,25,0.1,D,1,NA,NA,NA,1,NA,4/24/22,NA,NA,NA,NA,NA,NA,NA,200
490,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,79,NA,NA,1,95,1,1.41094,200
491,25,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,73,NA,NA,1,74,1,1.30378,200
492,25,0.1,D,1,NA,NA,NA,1,NA,4/19/22,NA,NA,NA,NA,NA,NA,NA,200
493,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,77,NA,NA,1,88,1,1.37522,200
494,25,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,78,NA,NA,1,99,1,1.39308,200
495,25,0.1,D,1,NA,NA,NA,NA,4/21/22,NA,77,NA,NA,1,101,0,1.37522,200
496,25,0.1,D,1,NA,NA,NA,NA,4/26/22,NA,87,NA,NA,1,117,1,1.55382,200
497,25,0.1,D,1,NA,NA,NA,NA,4/17/22,NA,79,NA,NA,1,80,0,1.41094,200
498,25,0.1,D,1,NA,NA,NA,NA,4/22/22,NA,77,NA,NA,1,83,1,1.37522,200
499,25,0.1,D,1,NA,NA,1,NA,NA,4/26/22,NA,NA,NA,NA,NA,NA,NA,200
500,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,80,NA,NA,1,89,1,1.4288,200
501,25,0.1,D,1,NA,NA,NA,NA,4/20/22,NA,71,NA,NA,1,96,0,1.26806,200
502,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,NA,NA,NA,1,67,1,NA,200
503,25,0.1,D,1,1,NA,NA,NA,4/21/22,NA,60,NA,NA,1,92,0,1.0716,200
504,25,0.1,D,1,NA,NA,NA,NA,4/23/22,NA,77,NA,NA,1,73,1,1.37522,200
505,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,81,NA,NA,1,64,1,1.44666,200
506,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,NA,NA,NA,1,15,1,NA,200
507,25,0.1,D,1,NA,NA,NA,1,NA,4/11/22,NA,NA,NA,NA,NA,NA,NA,200
508,25,0.1,D,1,NA,NA,NA,NA,4/24/22,NA,80,NA,NA,1,91,1,1.4288,200
509,25,0.1,D,1,NA,NA,NA,NA,4/26/22,NA,57,NA,NA,1,44,1,1.01802,200
510,25,0.1,D,1,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA,NA,NA,NA,200
511,25,0.5,D,0,NA,NA,NA,1,NA,4/10/22,NA,NA,NA,NA,NA,NA,NA,200
512,25,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,86,1,-2,0,NA,NA,2.15,200
513,25,0.5,D,0,NA,NA,NA,NA,5/22/22,NA,NA,NA,NA,0,NA,NA,NA,200
514,25,0.5,D,0,NA,1,NA,NA,NA,5/23/22,83,1,-2,0,NA,NA,2.075,200
515,25,0.5,D,0,NA,NA,NA,NA,5/21/22,NA,84,1,-2,0,NA,NA,2.1,200
516,25,0.5,D,0,NA,NA,NA,NA,4/10/22,NA,70,NA,NA,NA,NA,NA,1.2502,200
517,25,0.5,D,0,NA,NA,NA,NA,5/22/22,NA,NA,NA,NA,0,NA,NA,NA,200
518,25,0.5,D,0,NA,NA,NA,NA,4/10/22,NA,72,NA,NA,NA,NA,NA,1.28592,200
519,25,0.5,D,0,NA,1,NA,NA,NA,5/23/22,81,1,-2,0,NA,NA,2.025,200
520,25,0.5,D,0,NA,NA,NA,NA,4/10/22,NA,70,NA,NA,NA,NA,NA,1.2502,200
521,25,0.5,D,0,NA,NA,NA,NA,5/23/22,NA,81,1,-2,0,NA,NA,2.025,200
522,25,0.5,D,0,NA,NA,1,NA,NA,4/18/22,NA,NA,NA,0,0,0,NA,200
523,25,0.5,D,0,NA,NA,NA,NA,5/22/22,NA,95,1,-1,0,NA,NA,1.9,200
524,25,0.5,D,0,NA,1,NA,NA,NA,5/23/22,84,1,-2,0,NA,NA,2.1,200
525,25,0.5,D,0,NA,NA,NA,NA,5/23/22,NA,NA,NA,NA,0,NA,NA,NA,200
526,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,75,NA,NA,1,269,0,1.3395,200
527,25,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,NA,NA,NA,1,137,1,NA,200
528,25,0.5,D,1,NA,NA,NA,NA,4/18/22,NA,75,NA,NA,1,242,0,1.3395,200
529,25,0.5,D,1,NA,NA,NA,NA,4/24/22,NA,86,NA,NA,1,108,1,1.53596,200
530,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,87,NA,NA,1,291,0,1.55382,200
531,25,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,84,NA,NA,1,183,1,1.50024,200
532,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,87,NA,NA,1,162,1,1.55382,200
533,25,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,NA,NA,NA,1,185,1,NA,200
534,25,0.5,D,1,NA,NA,NA,NA,4/21/22,NA,90,NA,NA,1,171,0,1.6074,200
535,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,75,NA,NA,1,136,1,1.3395,200
536,25,0.5,D,1,NA,NA,NA,NA,4/19/22,NA,84,NA,NA,1,250,0,1.50024,200
537,25,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,93,NA,NA,1,232,1,1.66098,200
538,25,0.5,D,1,NA,NA,NA,NA,4/17/22,NA,81,NA,NA,1,165,0,1.44666,200
539,25,0.5,D,1,1,1,NA,NA,NA,4/16/22,61,NA,NA,1,70,0,1.08946,200
540,25,0.5,D,1,NA,NA,NA,NA,4/17/22,NA,82,NA,NA,1,213,0,1.46452,200
541,25,0.5,D,1,NA,NA,NA,NA,4/16/22,NA,77,NA,NA,NA,NA,NA,1.37522,200
542,25,0.5,D,1,NA,NA,NA,NA,4/21/22,NA,85,NA,NA,1,289,0,1.5181,200
543,25,0.5,D,1,NA,NA,NA,NA,4/18/22,NA,84,NA,NA,1,205,0,1.50024,200
544,25,0.5,D,1,NA,NA,NA,NA,4/23/22,NA,87,NA,NA,1,137,1,1.55382,200
545,25,0.5,D,1,NA,NA,NA,NA,4/10/22,NA,70,NA,NA,NA,NA,NA,1.2502,200
546,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,85,NA,NA,1,104,1,1.5181,200
547,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,80,NA,NA,1,141,1,1.4288,200
548,25,0.5,D,1,NA,NA,NA,NA,4/21/22,NA,NA,NA,NA,1,21,1,NA,200
549,25,0.5,D,1,NA,NA,NA,NA,4/22/22,NA,86,NA,NA,1,NA,NA,1.53596,200
550,25,0.5,D,1,NA,NA,NA,NA,4/19/22,NA,74,NA,NA,1,192,1,1.32164,200
551,25,0.5,D,1,NA,NA,NA,NA,4/19/22,NA,69,NA,NA,1,134,0,1.23234,200
552,25,0.5,D,1,NA,NA,NA,NA,4/20/22,NA,76,NA,NA,1,135,1,1.35736,200
553,25,0.5,D,1,NA,NA,NA,NA,4/17/22,NA,72,NA,NA,1,127,0,1.28592,200
554,25,0.5,D,1,1,1,NA,NA,NA,4/16/22,61,NA,NA,1,NA,NA,1.08946,200
555,25,0.5,D,1,1,1,NA,NA,NA,4/16/22,62,NA,NA,1,104,0,1.10732,200
