,1,2,3,4,5,6,7,8,9,10,11,12,,,
A,4775,4228,8606,2767,4609,4274,4091,2628,6035,7363,8666,4571,"485/20,665/7",,Plate 8
B,8618,4525,8817,2839,3945,3703,4043,2735,7098,4493,4227,4100,"485/20,665/7",,
C,7296,7514,4742,2672,3911,3539,4075,2688,7847,5111,4640,4711,"485/20,665/7",,
D,7861,9326,6047,2586,4181,4046,4292,2609,3997,4394,4132,5088,"485/20,665/7",,
E,4241,4366,7565,2716,3869,3500,4135,2672,4034,6735,4758,4671,"485/20,665/7",,
F,2857,2749,2594,2655,2721,2682,2758,2484,2766,2831,2813,2691,"485/20,665/7",,
G,3314,3733,3669,2550,3851,3598,3625,2712,3566,3708,3482,3306,"485/20,665/7",,
H,2726,2664,2846,2713,2599,2655,2625,2757,2690,2540,2592,2602,"485/20,665/7",,
,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,Plate 4
A,5240,5193,5047,2605,4936,5078,4727,2661,5098,5536,5001,5955,"485/20,665/7",,
B,5384,4748,6190,2682,4042,5268,5253,2602,7208,6089,5920,5069,"485/20,665/7",,
C,5353,6808,6016,2541,5802,4676,4591,2502,6324,6169,6452,5466,"485/20,665/7",,
D,5473,7572,7681,2619,5973,5980,5028,2529,6440,6358,6811,6498,"485/20,665/7",,
E,5922,5915,7513,2730,7624,7289,7179,2722,4938,4661,5107,6048,"485/20,665/7",,
F,2577,2956,2673,2609,2651,2630,2679,2534,2648,2671,2607,2696,"485/20,665/7",,
G,3615,3644,3661,2707,3819,6028,5207,2603,2370,2629,2627,2572,"485/20,665/7",,
H,2567,1970,2534,2606,2869,2533,2676,2602,2615,2610,2690,2751,"485/20,665/7",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,