Tube Number,Length,Dead,Eggs ,Babies
1,53,no,no,no
2,47,no,no,no
3,49,no,no,no
4,45,no,no,no
5,41,no,no,no
6,43,no,no,no
7,51,no,no,no
8,44,no,no,no
9,43,no,no,no
10,40,no,no,no
11,49,no,no,no
12,41,no,no,no
13,46,no,no,no
14,44,no,no,no
15,999,no,no,no
16,39,no,no,no
17,49,no,no,no
18,999,no,no,no
19,40,no,no,no
20,41,no,no,no
21,48,no,no,no
22,50,no,no,no
23,40,no,no,no
24,40,no,no,no
25,44,no,no,no
26,39,no,no,no
27,48,no,no,no
28,40,no,no,no
29,36,yes,no,no
30,52,no,no,no
31,48,no,no,no
32,48,no,no,no
33,49,no,no,no
34,47,no,no,no
35,50,no,no,no
36,50,no,no,no
37,52,no,no,no
38,52,no,no,no
39,48,no,no,no
40,49,no,no,no
41,46,no,no,no
42,51,no,no,no
43,48,no,no,no
44,49,no,no,no
45,43,no,no,no
46,50,no,no,no
47,47,no,no,no
48,50,no,no,no
49,50,no,no,no
50,51,no,no,no
51,51,no,no,no
52,48,no,no,no
53,53,no,no,no
54,53,no,no,no
55,51,no,no,no
56,49,no,no,no
57,52,no,no,no
58,50,no,no,no
59,50,no,no,no
60,50,no,no,no
61,51,no,no,no
62,50,no,no,no
63,50,no,no,no
64,49,no,no,no
65,52,no,no,no
66,53,no,no,no
67,53,no,no,no
68,52,no,no,no
69,46,no,no,no
70,52,no,no,no
71,51,no,no,no
72,52,no,no,no
73,45,no,no,no
74,51,no,no,no
75,47,no,no,no
76,53,no,no,no
77,51,no,no,no
78,52,no,no,no
79,52,no,no,no
80,49,no,no,no
81,54,no,no,no
82,50,no,no,no
83,49,no,no,no
84,52,no,no,no
85,50,no,no,no
86,49,no,no,no
87,54,no,no,no
88,53,no,no,no
89,53,no,no,no
90,51,no,no,no
91,63,no,no,no
92,60,no,no,no
93,59,no,no,no
94,60,no,no,no
95,59,no,no,no
96,59,no,no,no
97,65,no,no,no
98,63,no,no,no
99,51,no,no,no
100,61,no,no,no
101,60,no,no,no
102,59,no,no,no
103,57,no,no,no
104,59,no,no,no
105,58,no,no,no
106,57,no,no,no
107,60,no,no,no
108,55,no,no,no
109,59,no,no,no
110,62,no,no,no
111,62,no,no,no
112,63,no,no,no
113,59,no,no,no
114,55,no,no,no
115,53,no,no,no
116,61,no,no,no
117,57,no,no,no
118,52,no,no,no
119,56,no,no,no
120,55,no,no,no
121,63,no,no,no
122,65,no,no,no
123,63,no,no,no
124,61,no,no,no
125,61,no,no,no
126,61,no,no,no
127,60,no,no,no
128,63,no,no,no
129,62,no,no,no
130,62,no,no,no
131,63,no,no,no
132,63,no,no,no
133,66,no,no,no
134,62,no,no,no
135,66,no,no,no
136,62,no,no,no
137,65,no,no,no
138,64,no,no,no
139,61,no,no,no
140,62,no,no,no
141,66,no,no,no
142,60,no,no,no
143,64,no,no,no
144,65,no,no,no
145,61,no,no,no
146,63,no,no,no
147,60,no,no,no
148,65,no,no,no
149,62,no,no,no
150,63,no,no,no
151,66,no,no,no
152,62,no,no,no
153,61,no,no,no
154,63,no,no,no
155,65,no,no,no
156,63,no,no,no
157,69,no,no,no
158,65,no,no,no
159,63,no,no,no
160,63,no,no,no
161,999,no,no,no
162,999,no,no,no
163,999,no,no,no
164,999,no,no,no
165,999,no,no,no
166,39,no,no,no
167,72,no,yes,no
168,61,no,no,no
169,66,no,no,no
170,66,no,no,no
171,57,no,no,no
172,61,no,no,no
173,999,no,no,no
174,48,no,no,no
175,56,no,no,no
176,999,no,no,no
177,999,no,no,no
178,999,no,no,no
179,999,no,no,no
180,999,no,no,no
181,73,no,no,no
182,74,no,no,no
183,72,no,no,no
184,77,no,no,no
185,76,no,yes,no
186,70,no,no,no
187,70,no,no,no
188,72,no,no,no
189,71,no,no,no
190,72,no,no,no
191,72,no,yes,no
192,72,no,no,no
193,70,no,yes,no
194,72,no,yes,no
195,70,no,no,no
196,70,no,no,no
197,74,no,no,no
198,73,no,no,no
199,73,no,no,no
200,69,no,no,no
201,72,no,no,no
202,68,no,no,no
203,72,no,no,no
204,70,no,no,no
205,65,no,no,no
206,74,no,no,no
207,73,no,no,no
208,73,no,no,no
209,69,no,no,no
210,72,no,no,no
211,72,no,yes,no
212,78,no,yes,no
213,71,no,yes,no
214,72,no,yes,no
215,75,no,yes,no
216,76,no,yes,no
217,71,no,yes,no
218,75,no,yes,no
219,75,no,yes,no
220,76,no,yes,no
221,72,no,yes,no
222,79,no,yes,no
223,74,no,yes,no
224,72,no,yes,no
225,74,no,yes,no
226,78,no,yes,no
227,74,no,yes,no
228,72,no,yes,no
229,75,no,yes,no
230,72,no,no,no
231,74,no,yes,no
232,75,no,no,no
233,76,no,yes,no
234,72,no,no,no
235,74,no,yes,no
236,73,no,yes,no
237,76,no,yes,no
238,72,no,yes,no
239,59,no,no,no
240,79,no,yes,no
241,71,no,yes,no
242,74,no,yes,no
243,71,no,yes,no
244,72,no,yes,no
245,66,no,no,no
246,71,no,yes,no
247,77,no,yes,no
248,71,no,yes,no
249,69,no,yes,no
250,73,no,yes,no
251,74,no,no,no
252,75,no,yes,no
253,76,no,yes,no
254,76,no,yes,no
255,73,no,yes,no
256,98,no,no,yes
257,69,no,yes,no
258,74,no,yes,no
259,69,no,yes,no
260,74,no,yes,no
261,70,no,no,no
262,69,no,no,no
263,73,no,yes,no
264,70,no,yes,no
265,73,no,yes,no
266,68,no,no,no
267,70,no,yes,no
268,72,no,no,no
269,68,no,no,no
270,70,no,no,no