tube,temp,temp_var,mean_temp,resource,species,exposed
1,2V,2,20,1,D,1
2,2V,2,20,1,D,1
3,2V,2,20,1,D,1
4,2V,2,20,1,D,1
5,2V,2,20,1,D,1
6,2V,2,20,1,D,1
7,2V,2,20,1,D,1
8,2V,2,20,1,D,1
9,2V,2,20,1,D,1
10,2V,2,20,1,D,1
11,2V,2,20,1,D,1
12,2V,2,20,1,D,1
13,2V,2,20,1,D,1
14,2V,2,20,1,D,1
15,2V,2,20,1,D,1
16,2V,2,20,1,D,1
17,2V,2,20,1,D,1
18,2V,2,20,1,D,1
19,2V,2,20,1,D,1
20,2V,2,20,1,D,1
21,2V,2,20,1,D,1
22,2V,2,20,1,D,1
23,2V,2,20,1,D,1
24,2V,2,20,1,D,1
25,2V,2,20,1,D,1
26,2V,2,20,1,D,1
27,2V,2,20,1,D,1
28,2V,2,20,1,D,1
29,2V,2,20,1,D,1
30,2V,2,20,1,D,1
31,2V,2,20,1,D,1
32,2V,2,20,1,D,1
33,2V,2,20,1,D,1
34,2V,2,20,1,D,1
35,2V,2,20,1,D,1
36,2V,2,20,1,D,0
37,2V,2,20,1,D,0
38,2V,2,20,1,D,0
39,2V,2,20,1,D,0
40,2V,2,20,1,D,0
41,2V,2,20,1,D,0
42,2V,2,20,1,D,0
43,2V,2,20,1,D,0
44,2V,2,20,1,D,0
45,2V,2,20,1,D,0
46,2V,2,20,1,D,0
47,2V,2,20,1,D,0
48,2V,2,20,1,D,0
49,2V,2,20,1,D,0
50,2V,2,20,1,D,0
51,6V,6,20,1,D,1
52,6V,6,20,1,D,1
53,6V,6,20,1,D,1
54,6V,6,20,1,D,1
55,6V,6,20,1,D,1
56,6V,6,20,1,D,1
57,6V,6,20,1,D,1
58,6V,6,20,1,D,1
59,6V,6,20,1,D,1
60,6V,6,20,1,D,1
61,6V,6,20,1,D,1
62,6V,6,20,1,D,1
63,6V,6,20,1,D,1
64,6V,6,20,1,D,1
65,6V,6,20,1,D,1
66,6V,6,20,1,D,1
67,6V,6,20,1,D,1
68,6V,6,20,1,D,1
69,6V,6,20,1,D,1
70,6V,6,20,1,D,1
71,6V,6,20,1,D,1
72,6V,6,20,1,D,1
73,6V,6,20,1,D,1
74,6V,6,20,1,D,1
75,6V,6,20,1,D,1
76,6V,6,20,1,D,1
77,6V,6,20,1,D,1
78,6V,6,20,1,D,1
79,6V,6,20,1,D,1
80,6V,6,20,1,D,1
81,6V,6,20,1,D,1
82,6V,6,20,1,D,1
83,6V,6,20,1,D,1
84,6V,6,20,1,D,1
85,6V,6,20,1,D,1
86,6V,6,20,1,D,0
87,6V,6,20,1,D,0
88,6V,6,20,1,D,0
89,6V,6,20,1,D,0
90,6V,6,20,1,D,0
91,6V,6,20,1,D,0
92,6V,6,20,1,D,0
93,6V,6,20,1,D,0
94,6V,6,20,1,D,0
95,6V,6,20,1,D,0
96,6V,6,20,1,D,0
97,6V,6,20,1,D,0
98,6V,6,20,1,D,0
99,6V,6,20,1,D,0
100,6V,6,20,1,D,0
101,14V,14,20,1,D,1
102,14V,14,20,1,D,1
103,14V,14,20,1,D,1
104,14V,14,20,1,D,1
105,14V,14,20,1,D,1
106,14V,14,20,1,D,1
107,14V,14,20,1,D,1
108,14V,14,20,1,D,1
109,14V,14,20,1,D,1
110,14V,14,20,1,D,1
111,14V,14,20,1,D,1
112,14V,14,20,1,D,1
113,14V,14,20,1,D,1
114,14V,14,20,1,D,1
115,14V,14,20,1,D,1
116,14V,14,20,1,D,1
117,14V,14,20,1,D,1
118,14V,14,20,1,D,1
119,14V,14,20,1,D,1
120,14V,14,20,1,D,1
121,14V,14,20,1,D,1
122,14V,14,20,1,D,1
123,14V,14,20,1,D,1
124,14V,14,20,1,D,1
125,14V,14,20,1,D,1
126,14V,14,20,1,D,1
127,14V,14,20,1,D,1
128,14V,14,20,1,D,1
129,14V,14,20,1,D,1
130,14V,14,20,1,D,1
131,14V,14,20,1,D,1
132,14V,14,20,1,D,1
133,14V,14,20,1,D,1
134,14V,14,20,1,D,1
135,14V,14,20,1,D,1
136,14V,14,20,1,D,0
137,14V,14,20,1,D,0
138,14V,14,20,1,D,0
139,14V,14,20,1,D,0
140,14V,14,20,1,D,0
141,14V,14,20,1,D,0
142,14V,14,20,1,D,0
143,14V,14,20,1,D,0
144,14V,14,20,1,D,0
145,14V,14,20,1,D,0
146,14V,14,20,1,D,0
147,14V,14,20,1,D,0
148,14V,14,20,1,D,0
149,14V,14,20,1,D,0
150,14V,14,20,1,D,0
151,15,0,15,0.1,D,0
152,15,0,15,0.1,D,0
153,15,0,15,0.1,D,0
154,15,0,15,0.1,D,0
155,15,0,15,0.1,D,0
156,15,0,15,0.1,D,0
157,15,0,15,0.1,D,0
158,15,0,15,0.1,D,0
159,15,0,15,0.1,D,0
160,15,0,15,0.1,D,0
161,15,0,15,0.1,D,0
162,15,0,15,0.1,D,0
163,15,0,15,0.1,D,0
164,15,0,15,0.1,D,0
165,15,0,15,0.1,D,0
166,15,0,15,0.1,D,1
167,15,0,15,0.1,D,1
168,15,0,15,0.1,D,1
169,15,0,15,0.1,D,1
170,15,0,15,0.1,D,1
171,15,0,15,0.1,D,1
172,15,0,15,0.1,D,1
173,15,0,15,0.1,D,1
174,15,0,15,0.1,D,1
175,15,0,15,0.1,D,1
176,15,0,15,0.1,D,1
177,15,0,15,0.1,D,1
178,15,0,15,0.1,D,1
179,15,0,15,0.1,D,1
180,15,0,15,0.1,D,1
181,15,0,15,0.1,D,1
182,15,0,15,0.1,D,1
183,15,0,15,0.1,D,1
184,15,0,15,0.1,D,1
185,15,0,15,0.1,D,1
186,15,0,15,0.1,D,1
187,15,0,15,0.1,D,1
188,15,0,15,0.1,D,1
189,15,0,15,0.1,D,1
190,15,0,15,0.1,D,1
191,15,0,15,0.1,D,1
192,15,0,15,0.1,D,1
193,15,0,15,0.1,D,1
194,15,0,15,0.1,D,1
195,15,0,15,0.1,D,1
196,15,0,15,0.1,D,1
197,15,0,15,0.1,D,1
198,15,0,15,0.1,D,1
199,15,0,15,0.1,D,1
200,15,0,15,0.1,D,1
201,15,0,15,0.1,D,1
202,15,0,15,0.1,D,1
203,15,0,15,0.1,D,1
204,15,0,15,0.1,D,1
205,15,0,15,0.1,D,1
206,15,0,15,0.1,D,1
207,15,0,15,0.1,D,1
208,15,0,15,0.1,D,1
209,15,0,15,0.1,D,1
210,15,0,15,0.1,D,1
211,15,0,15,0.5,D,0
212,15,0,15,0.5,D,0
213,15,0,15,0.5,D,0
214,15,0,15,0.5,D,0
215,15,0,15,0.5,D,0
216,15,0,15,0.5,D,0
217,15,0,15,0.5,D,0
218,15,0,15,0.5,D,0
219,15,0,15,0.5,D,0
220,15,0,15,0.5,D,0
221,15,0,15,0.5,D,0
222,15,0,15,0.5,D,0
223,15,0,15,0.5,D,0
224,15,0,15,0.5,D,0
225,15,0,15,0.5,D,0
226,15,0,15,0.5,D,1
227,15,0,15,0.5,D,1
228,15,0,15,0.5,D,1
229,15,0,15,0.5,D,1
230,15,0,15,0.5,D,1
231,15,0,15,0.5,D,1
232,15,0,15,0.5,D,1
233,15,0,15,0.5,D,1
234,15,0,15,0.5,D,1
235,15,0,15,0.5,D,1
236,15,0,15,0.5,D,1
237,15,0,15,0.5,D,1
238,15,0,15,0.5,D,1
239,15,0,15,0.5,D,1
240,15,0,15,0.5,D,1
241,15,0,15,0.5,D,1
242,15,0,15,0.5,D,1
243,15,0,15,0.5,D,1
244,15,0,15,0.5,D,1
245,15,0,15,0.5,D,1
246,15,0,15,0.5,D,1
247,15,0,15,0.5,D,1
248,15,0,15,0.5,D,1
249,15,0,15,0.5,D,1
250,15,0,15,0.5,D,1
251,15,0,15,0.5,D,1
252,15,0,15,0.5,D,1
253,15,0,15,0.5,D,1
254,15,0,15,0.5,D,1
255,15,0,15,0.5,D,1
256,15,0,15,0.5,D,1
257,15,0,15,0.5,D,1
258,15,0,15,0.5,D,1
259,15,0,15,0.5,D,1
260,15,0,15,0.5,D,1
261,15,0,15,0.5,D,1
262,15,0,15,0.5,D,1
263,15,0,15,0.5,D,1
264,15,0,15,0.5,D,1
265,15,0,15,0.5,D,1
266,15,0,15,0.5,D,1
267,15,0,15,0.5,D,1
268,15,0,15,0.5,D,1
269,15,0,15,0.5,D,1
270,15,0,15,0.5,D,1
271,15,0,15,1,D,0
272,15,0,15,1,D,0
273,15,0,15,1,D,0
274,15,0,15,1,D,0
275,15,0,15,1,D,0
276,15,0,15,1,D,0
277,15,0,15,1,D,0
278,15,0,15,1,D,0
279,15,0,15,1,D,0
280,15,0,15,1,D,0
281,15,0,15,1,D,0
282,15,0,15,1,D,0
283,15,0,15,1,D,0
284,15,0,15,1,D,0
285,15,0,15,1,D,0
286,15,0,15,1,D,1
287,15,0,15,1,D,1
288,15,0,15,1,D,1
289,15,0,15,1,D,1
290,15,0,15,1,D,1
291,15,0,15,1,D,1
292,15,0,15,1,D,1
293,15,0,15,1,D,1
294,15,0,15,1,D,1
295,15,0,15,1,D,1
296,15,0,15,1,D,1
297,15,0,15,1,D,1
298,15,0,15,1,D,1
299,15,0,15,1,D,1
300,15,0,15,1,D,1
301,15,0,15,1,D,1
302,15,0,15,1,D,1
303,15,0,15,1,D,1
304,15,0,15,1,D,1
305,15,0,15,1,D,1
306,15,0,15,1,D,1
307,15,0,15,1,D,1
308,15,0,15,1,D,1
309,15,0,15,1,D,1
310,15,0,15,1,D,1
311,15,0,15,1,D,1
312,15,0,15,1,D,1
313,15,0,15,1,D,1
314,15,0,15,1,D,1
315,15,0,15,1,D,1
316,15,0,15,1,D,1
317,15,0,15,1,D,1
318,15,0,15,1,D,1
319,15,0,15,1,D,1
320,15,0,15,1,D,1
321,15,0,15,1,D,1
322,15,0,15,1,D,1
323,15,0,15,1,D,1
324,15,0,15,1,D,1
325,15,0,15,1,D,1
326,15,0,15,1,D,1
327,15,0,15,1,D,1
328,15,0,15,1,D,1
329,15,0,15,1,D,1
330,15,0,15,1,D,1
331,20,0,20,0.1,D,0
332,20,0,20,0.1,D,0
333,20,0,20,0.1,D,0
334,20,0,20,0.1,D,0
335,20,0,20,0.1,D,0
336,20,0,20,0.1,D,0
337,20,0,20,0.1,D,0
338,20,0,20,0.1,D,0
339,20,0,20,0.1,D,0
340,20,0,20,0.1,D,0
341,20,0,20,0.1,D,0
342,20,0,20,0.1,D,0
343,20,0,20,0.1,D,0
344,20,0,20,0.1,D,0
345,20,0,20,0.1,D,0
346,20,0,20,0.1,D,1
347,20,0,20,0.1,D,1
348,20,0,20,0.1,D,1
349,20,0,20,0.1,D,1
350,20,0,20,0.1,D,1
351,20,0,20,0.1,D,1
352,20,0,20,0.1,D,1
353,20,0,20,0.1,D,1
354,20,0,20,0.1,D,1
355,20,0,20,0.1,D,1
356,20,0,20,0.1,D,1
357,20,0,20,0.1,D,1
358,20,0,20,0.1,D,1
359,20,0,20,0.1,D,1
360,20,0,20,0.1,D,1
361,20,0,20,0.1,D,1
362,20,0,20,0.1,D,1
363,20,0,20,0.1,D,1
364,20,0,20,0.1,D,1
365,20,0,20,0.1,D,1
366,20,0,20,0.1,D,1
367,20,0,20,0.1,D,1
368,20,0,20,0.1,D,1
369,20,0,20,0.1,D,1
370,20,0,20,0.1,D,1
371,20,0,20,0.1,D,1
372,20,0,20,0.1,D,1
373,20,0,20,0.1,D,1
374,20,0,20,0.1,D,1
375,20,0,20,0.1,D,1
376,20,0,20,0.5,D,0
377,20,0,20,0.5,D,0
378,20,0,20,0.5,D,0
379,20,0,20,0.5,D,0
380,20,0,20,0.5,D,0
381,20,0,20,0.5,D,0
382,20,0,20,0.5,D,0
383,20,0,20,0.5,D,0
384,20,0,20,0.5,D,0
385,20,0,20,0.5,D,0
386,20,0,20,0.5,D,0
387,20,0,20,0.5,D,0
388,20,0,20,0.5,D,0
389,20,0,20,0.5,D,0
390,20,0,20,0.5,D,0
391,20,0,20,0.5,D,1
392,20,0,20,0.5,D,1
393,20,0,20,0.5,D,1
394,20,0,20,0.5,D,1
395,20,0,20,0.5,D,1
396,20,0,20,0.5,D,1
397,20,0,20,0.5,D,1
398,20,0,20,0.5,D,1
399,20,0,20,0.5,D,1
400,20,0,20,0.5,D,1
401,20,0,20,0.5,D,1
402,20,0,20,0.5,D,1
403,20,0,20,0.5,D,1
404,20,0,20,0.5,D,1
405,20,0,20,0.5,D,1
406,20,0,20,0.5,D,1
407,20,0,20,0.5,D,1
408,20,0,20,0.5,D,1
409,20,0,20,0.5,D,1
410,20,0,20,0.5,D,1
411,20,0,20,0.5,D,1
412,20,0,20,0.5,D,1
413,20,0,20,0.5,D,1
414,20,0,20,0.5,D,1
415,20,0,20,0.5,D,1
416,20,0,20,0.5,D,1
417,20,0,20,0.5,D,1
418,20,0,20,0.5,D,1
419,20,0,20,0.5,D,1
420,20,0,20,0.5,D,1
421,20,0,20,1,D,0
422,20,0,20,1,D,0
423,20,0,20,1,D,0
424,20,0,20,1,D,0
425,20,0,20,1,D,0
426,20,0,20,1,D,0
427,20,0,20,1,D,0
428,20,0,20,1,D,0
429,20,0,20,1,D,0
430,20,0,20,1,D,0
431,20,0,20,1,D,0
432,20,0,20,1,D,0
433,20,0,20,1,D,0
434,20,0,20,1,D,0
435,20,0,20,1,D,0
436,20,0,20,1,D,1
437,20,0,20,1,D,1
438,20,0,20,1,D,1
439,20,0,20,1,D,1
440,20,0,20,1,D,1
441,20,0,20,1,D,1
442,20,0,20,1,D,1
443,20,0,20,1,D,1
444,20,0,20,1,D,1
445,20,0,20,1,D,1
446,20,0,20,1,D,1
447,20,0,20,1,D,1
448,20,0,20,1,D,1
449,20,0,20,1,D,1
450,20,0,20,1,D,1
451,20,0,20,1,D,1
452,20,0,20,1,D,1
453,20,0,20,1,D,1
454,20,0,20,1,D,1
455,20,0,20,1,D,1
456,20,0,20,1,D,1
457,20,0,20,1,D,1
458,20,0,20,1,D,1
459,20,0,20,1,D,1
460,20,0,20,1,D,1
461,20,0,20,1,D,1
462,20,0,20,1,D,1
463,20,0,20,1,D,1
464,20,0,20,1,D,1
465,20,0,20,1,D,1
466,25,0,25,0.1,D,0
467,25,0,25,0.1,D,0
468,25,0,25,0.1,D,0
469,25,0,25,0.1,D,0
470,25,0,25,0.1,D,0
471,25,0,25,0.1,D,0
472,25,0,25,0.1,D,0
473,25,0,25,0.1,D,0
474,25,0,25,0.1,D,0
475,25,0,25,0.1,D,0
476,25,0,25,0.1,D,0
477,25,0,25,0.1,D,0
478,25,0,25,0.1,D,0
479,25,0,25,0.1,D,0
480,25,0,25,0.1,D,0
481,25,0,25,0.1,D,1
482,25,0,25,0.1,D,1
483,25,0,25,0.1,D,1
484,25,0,25,0.1,D,1
485,25,0,25,0.1,D,1
486,25,0,25,0.1,D,1
487,25,0,25,0.1,D,1
488,25,0,25,0.1,D,1
489,25,0,25,0.1,D,1
490,25,0,25,0.1,D,1
491,25,0,25,0.1,D,1
492,25,0,25,0.1,D,1
493,25,0,25,0.1,D,1
494,25,0,25,0.1,D,1
495,25,0,25,0.1,D,1
496,25,0,25,0.1,D,1
497,25,0,25,0.1,D,1
498,25,0,25,0.1,D,1
499,25,0,25,0.1,D,1
500,25,0,25,0.1,D,1
501,25,0,25,0.1,D,1
502,25,0,25,0.1,D,1
503,25,0,25,0.1,D,1
504,25,0,25,0.1,D,1
505,25,0,25,0.1,D,1
506,25,0,25,0.1,D,1
507,25,0,25,0.1,D,1
508,25,0,25,0.1,D,1
509,25,0,25,0.1,D,1
510,25,0,25,0.1,D,1
511,25,0,25,0.5,D,0
512,25,0,25,0.5,D,0
513,25,0,25,0.5,D,0
514,25,0,25,0.5,D,0
515,25,0,25,0.5,D,0
516,25,0,25,0.5,D,0
517,25,0,25,0.5,D,0
518,25,0,25,0.5,D,0
519,25,0,25,0.5,D,0
520,25,0,25,0.5,D,0
521,25,0,25,0.5,D,0
522,25,0,25,0.5,D,0
523,25,0,25,0.5,D,0
524,25,0,25,0.5,D,0
525,25,0,25,0.5,D,0
526,25,0,25,0.5,D,1
527,25,0,25,0.5,D,1
528,25,0,25,0.5,D,1
529,25,0,25,0.5,D,1
530,25,0,25,0.5,D,1
531,25,0,25,0.5,D,1
532,25,0,25,0.5,D,1
533,25,0,25,0.5,D,1
534,25,0,25,0.5,D,1
535,25,0,25,0.5,D,1
536,25,0,25,0.5,D,1
537,25,0,25,0.5,D,1
538,25,0,25,0.5,D,1
539,25,0,25,0.5,D,1
540,25,0,25,0.5,D,1
541,25,0,25,0.5,D,1
542,25,0,25,0.5,D,1
543,25,0,25,0.5,D,1
544,25,0,25,0.5,D,1
545,25,0,25,0.5,D,1
546,25,0,25,0.5,D,1
547,25,0,25,0.5,D,1
548,25,0,25,0.5,D,1
549,25,0,25,0.5,D,1
550,25,0,25,0.5,D,1
551,25,0,25,0.5,D,1
552,25,0,25,0.5,D,1
553,25,0,25,0.5,D,1
554,25,0,25,0.5,D,1
555,25,0,25,0.5,D,1
556,25,0,25,1,D,0
557,25,0,25,1,D,0
558,25,0,25,1,D,0
559,25,0,25,1,D,0
560,25,0,25,1,D,0
561,25,0,25,1,D,0
562,25,0,25,1,D,0
563,25,0,25,1,D,0
564,25,0,25,1,D,0
565,25,0,25,1,D,0
566,25,0,25,1,D,0
567,25,0,25,1,D,0
568,25,0,25,1,D,0
569,25,0,25,1,D,0
570,25,0,25,1,D,0
571,25,0,25,1,D,1
572,25,0,25,1,D,1
573,25,0,25,1,D,1
574,25,0,25,1,D,1
575,25,0,25,1,D,1
576,25,0,25,1,D,1
577,25,0,25,1,D,1
578,25,0,25,1,D,1
579,25,0,25,1,D,1
580,25,0,25,1,D,1
581,25,0,25,1,D,1
582,25,0,25,1,D,1
583,25,0,25,1,D,1
584,25,0,25,1,D,1
585,25,0,25,1,D,1
586,25,0,25,1,D,1
587,25,0,25,1,D,1
588,25,0,25,1,D,1
589,25,0,25,1,D,1
590,25,0,25,1,D,1
591,25,0,25,1,D,1
592,25,0,25,1,D,1
593,25,0,25,1,D,1
594,25,0,25,1,D,1
595,25,0,25,1,D,1
596,25,0,25,1,D,1
597,25,0,25,1,D,1
598,25,0,25,1,D,1
599,25,0,25,1,D,1
600,25,0,25,1,D,1
601,15,0,15,1,C,0
602,15,0,15,1,C,0
603,15,0,15,1,C,0
604,15,0,15,1,C,0
605,15,0,15,1,C,0
606,15,0,15,1,C,0
607,15,0,15,1,C,0
608,15,0,15,1,C,0
609,15,0,15,1,C,0
610,15,0,15,1,C,0
611,15,0,15,1,C,0
612,15,0,15,1,C,0
613,15,0,15,1,C,0
614,15,0,15,1,C,0
615,15,0,15,1,C,0
616,15,0,15,1,C,0
617,15,0,15,1,C,1
618,15,0,15,1,C,1
619,15,0,15,1,C,1
620,15,0,15,1,C,1
621,15,0,15,1,C,1
622,15,0,15,1,C,1
623,15,0,15,1,C,1
624,15,0,15,1,C,1
625,15,0,15,1,C,1
626,15,0,15,1,C,1
627,15,0,15,1,C,1
628,15,0,15,1,C,1
629,15,0,15,1,C,1
630,15,0,15,1,C,1
631,15,0,15,1,C,1
632,15,0,15,1,C,1
633,15,0,15,1,C,1
634,15,0,15,1,C,1
635,15,0,15,1,C,1
636,15,0,15,1,C,1
637,15,0,15,1,C,1
638,15,0,15,1,C,1
639,15,0,15,1,C,1
640,15,0,15,1,C,1
641,15,0,15,1,C,1
642,15,0,15,1,C,1
643,15,0,15,1,C,1
644,15,0,15,1,C,1
645,15,0,15,1,C,1
646,15,0,15,1,C,1
647,15,0,15,1,C,1
648,15,0,15,1,C,1
649,15,0,15,1,C,1
650,15,0,15,1,C,1
651,20,0,20,1,C,0
652,20,0,20,1,C,0
653,20,0,20,1,C,0
654,20,0,20,1,C,0
655,20,0,20,1,C,0
656,20,0,20,1,C,0
657,20,0,20,1,C,0
658,20,0,20,1,C,0
659,20,0,20,1,C,0
660,20,0,20,1,C,0
661,20,0,20,1,C,0
662,20,0,20,1,C,0
663,20,0,20,1,C,0
664,20,0,20,1,C,0
665,20,0,20,1,C,0
666,20,0,20,1,C,0
667,20,0,20,1,C,1
668,20,0,20,1,C,1
669,20,0,20,1,C,1
670,20,0,20,1,C,1
671,20,0,20,1,C,1
672,20,0,20,1,C,1
673,20,0,20,1,C,1
674,20,0,20,1,C,1
675,20,0,20,1,C,1
678,20,0,20,1,C,1
679,20,0,20,1,C,1
680,20,0,20,1,C,1
681,20,0,20,1,C,1
682,20,0,20,1,C,1
683,20,0,20,1,C,1
684,20,0,20,1,C,1
685,20,0,20,1,C,1
686,20,0,20,1,C,1
687,20,0,20,1,C,1
688,20,0,20,1,C,1
689,20,0,20,1,C,1
690,20,0,20,1,C,1
691,20,0,20,1,C,1
692,20,0,20,1,C,1
693,20,0,20,1,C,1
694,20,0,20,1,C,1
695,20,0,20,1,C,1
696,20,0,20,1,C,1
697,20,0,20,1,C,1
698,20,0,20,1,C,1
699,20,0,20,1,C,1
700,20,0,20,1,C,1
701,25,0,25,1,C,0
702,25,0,25,1,C,0
703,25,0,25,1,C,0
704,25,0,25,1,C,0
705,25,0,25,1,C,0
706,25,0,25,1,C,0
707,25,0,25,1,C,0
708,25,0,25,1,C,0
709,25,0,25,1,C,0
710,25,0,25,1,C,0
711,25,0,25,1,C,0
712,25,0,25,1,C,0
713,25,0,25,1,C,0
714,25,0,25,1,C,0
715,25,0,25,1,C,0
716,25,0,25,1,C,1
717,25,0,25,1,C,1
718,25,0,25,1,C,1
719,25,0,25,1,C,1
720,25,0,25,1,C,1
721,25,0,25,1,C,1
726,25,0,25,1,C,1
727,25,0,25,1,C,1
728,25,0,25,1,C,1
729,25,0,25,1,C,1
730,25,0,25,1,C,1
731,25,0,25,1,C,1
732,25,0,25,1,C,1
733,25,0,25,1,C,1
734,25,0,25,1,C,1
735,25,0,25,1,C,1
736,25,0,25,1,C,1
737,25,0,25,1,C,1
738,25,0,25,1,C,1
739,25,0,25,1,C,1
740,25,0,25,1,C,1
741,25,0,25,1,C,1
742,25,0,25,1,C,1
743,25,0,25,1,C,1
744,25,0,25,1,C,1
745,25,0,25,1,C,1
746,25,0,25,1,C,1
747,25,0,25,1,C,1
748,25,0,25,1,C,1
749,25,0,25,1,C,1
750,25,0,25,1,C,1